shiftSinceLineset,motionSinceLineset,snap_motion_gap,init_rel_y_dis,end_rel_y_dis,overall_y_change,init_rel_x_dis,end_rel_x_dis,overall_x_change,motion_s_avg,frames_in_motion,swapped_side,y_dis_travel_pos,y_dis_travel_neg,swapped_y_dir,x_dis_travel_pos,x_dis_travel_neg,inMotionAtBallSnap,init_tackle_dis,end_tackle_dis
0,1,0,983,201,782,-244,-649,405,341.95348837209303,43,0,288,1071,1,2,411,1,670,-114
0,1,0,2,-320,322,-475,-256,-219,234.14705882352942,34,1,211,539,1,240,28,1,-316,-28
0,1,40,554,613,-59,-221,-146,-75,120.88888888888889,9,0,71,4,0,76,6,0,240,297
0,1,0,1082,582,500,-151,-117,-34,230.3,20,0,0,474,0,31,12,1,1356,875
1,1,40,12,-469,481,-264,-116,-148,175.2058823529412,34,1,24,514,0,178,47,0,-310,173
1,1,40,1021,529,492,-260,-210,-50,137.52631578947367,38,0,10,517,0,54,26,0,687,193
0,1,0,1243,828,415,-195,-202,7,251.76470588235293,17,0,15,421,0,14,30,1,954,538
0,1,39,41,-1463,1504,-897,-208,-689,287.44642857142856,56,1,2,1513,0,680,15,0,-270,1188
0,1,30,1552,-213,1765,-121,-541,420,335.57142857142856,56,1,11,1767,0,86,514,0,1265,-121
0,1,0,929,391,538,-242,-354,112,359.1875,16,0,19,543,0,2,120,1,596,66
0,1,0,1478,932,546,-162,-167,5,183.41379310344828,29,0,0,546,0,43,51,1,1168,621
0,1,0,653,-212,865,-217,-250,33,431.75,20,1,15,866,0,2,48,1,347,-123
1,1,36,814,1115,-301,-152,-149,-3,100.27450980392157,51,0,408,118,1,97,87,0,404,707
1,1,22,1217,-1732,2949,-130,-163,33,457.32307692307694,65,1,12,2965,0,224,249,0,807,1431
1,1,32,242,-302,544,-502,-482,-20,100.83928571428571,56,1,8,536,0,106,85,0,-57,-106
0,1,30,684,212,472,-348,-480,132,264.4,20,0,12,493,0,4,142,0,378,-94
0,1,38,355,433,-78,-188,-95,-93,120.14285714285714,14,0,109,36,1,109,13,0,22,95
0,1,0,1199,359,840,-227,-361,134,480.8888888888889,18,0,9,835,0,4,131,1,892,57
0,1,0,697,315,382,-203,-264,61,358.7837837837838,37,0,459,852,1,16,89,1,341,-48
1,1,90,1934,875,1059,-28,-77,49,227.5,46,0,14,1055,0,17,99,0,1623,560
0,1,95,588,828,-240,-70,-38,-32,114.765625,64,0,434,200,1,197,187,0,221,465
1,1,105,256,374,-118,-454,-450,-4,86.9375,16,0,155,47,1,6,30,0,-111,11
1,1,88,1238,1924,-686,-65,12,-77,161.02325581395348,43,0,701,10,0,128,75,0,927,1609
0,1,44,342,-440,782,-214,-154,-60,260.59375,32,1,24,791,0,104,53,0,31,107
0,1,26,307,1491,-1184,-744,-236,-508,321.3170731707317,41,0,1191,5,0,512,3,0,0,1187
0,1,29,1067,1509,-442,-191,-62,-129,182.03846153846155,26,0,441,4,0,124,8,0,759,1203
0,1,10,216,581,-365,-392,-191,-201,142.0,41,0,381,17,0,299,106,0,-92,275
0,1,40,857,464,393,-192,-164,-28,101.33333333333333,39,0,5,390,0,64,42,0,593,202
0,1,0,984,552,432,-264,-394,130,245.26315789473685,19,0,30,450,0,6,146,1,707,280
0,1,49,449,528,-79,-205,-170,-35,132.25,8,0,92,8,0,42,7,0,161,239
1,1,59,793,1459,-666,-146,-92,-54,189.17142857142858,35,0,677,4,0,61,32,0,508,1174
1,1,63,1170,1313,-143,-213,-213,0,72.5,16,0,155,26,0,3,28,0,863,1006
0,1,19,1573,68,1505,-73,-175,102,261.3235294117647,68,0,13,1509,0,308,421,0,1288,-217
0,1,46,163,-270,433,-509,-457,-52,164.0625,32,1,37,467,0,98,48,0,-143,-76
0,1,0,468,125,343,-234,-255,21,321.1818181818182,11,0,15,353,0,2,35,1,167,-180
0,1,10,564,-1540,2104,-212,-95,-117,314.02985074626866,67,1,1,2099,0,109,13,0,255,1195
0,1,0,219,-128,347,-610,-616,6,306.8181818181818,11,1,3,344,0,2,15,1,-82,-234
0,1,0,718,365,353,-200,-312,112,363.90909090909093,11,0,19,360,0,13,139,1,450,97
0,1,0,447,441,6,-135,-126,-9,17.0,2,0,6,7,1,4,1,0,161,156
0,1,18,547,547,0,-204,-209,5,32.0,1,0,9,7,1,2,6,0,262,264
0,1,0,746,-525,1271,-229,-214,-15,385.3030303030303,33,1,3,1272,0,9,29,1,438,163
0,1,0,436,207,229,-255,-257,2,236.9090909090909,11,0,17,241,0,24,28,1,157,-75
0,1,0,484,-524,1008,-275,-250,-25,484.76190476190476,21,1,3,1006,0,34,16,1,195,148
0,1,0,12,91,-79,-465,-458,-7,107.71428571428571,7,0,76,1,0,4,0,1,-301,-225
0,1,0,1511,931,580,-214,-193,-21,250.8695652173913,23,0,2,585,0,15,4,1,1177,597
0,1,0,1531,865,666,-174,-210,36,220.63333333333333,30,0,1,668,0,19,57,1,1215,547
0,1,0,509,543,-34,-126,-114,-12,24.571428571428573,7,0,54,34,1,26,24,1,153,186
0,1,0,1529,900,629,-145,-132,-13,262.25,24,0,2,635,0,54,57,1,1167,535
1,1,12,1104,-1461,2565,-180,-60,-120,336.5584415584416,77,1,2,2553,0,287,176,0,803,1101
1,1,42,739,976,-237,-157,-153,-4,119.52631578947368,19,0,250,4,0,8,20,0,438,679
1,1,5,518,257,261,-122,-391,269,92.71428571428571,49,0,35,311,0,18,300,0,162,-103
1,1,42,223,-203,426,-512,-497,-15,145.74193548387098,31,1,5,448,0,74,67,0,-133,-94
0,1,0,929,1040,-111,-174,-233,59,361.32142857142856,56,0,1060,947,1,32,101,1,562,675
0,1,0,435,-677,1112,-225,-251,26,297.56756756756755,37,1,2,1119,0,49,72,1,131,371
0,1,6,406,420,-14,-232,-220,-12,37.0,2,0,19,5,1,15,3,0,126,140
1,1,0,513,483,30,-114,35,-149,59.75,20,0,45,88,1,37,6,1,191,148
0,1,1,601,-538,1139,-199,-139,-60,291.2564102564103,39,1,4,1144,0,102,52,0,316,205
0,1,0,438,-587,1025,-229,-241,12,282.18918918918916,37,1,2,1043,0,73,87,1,122,309
0,1,0,839,-233,1072,-196,-316,120,499.22727272727275,22,1,6,1064,0,6,107,1,515,-72
0,1,24,1026,-5,1031,-105,-466,361,284.7073170731707,41,1,26,1070,0,56,427,0,702,-283
0,1,0,894,610,284,-232,-329,97,257.2307692307692,13,0,20,314,0,2,106,1,604,316
1,1,86,446,-427,873,-101,-96,-5,229.65,40,1,14,902,0,119,124,0,123,140
1,1,60,535,-562,1097,-189,-135,-54,192.98333333333332,60,1,20,1123,0,209,164,0,212,275
0,1,0,941,67,874,-154,-245,91,375.48387096774195,62,0,738,1612,1,41,144,1,670,-209
1,1,52,1250,468,782,-161,-140,-21,213.4,40,0,38,825,0,65,41,0,960,172
0,1,77,108,238,-130,-652,-481,-171,126.82352941176471,17,0,123,13,0,172,6,0,-190,-71
0,1,0,415,-455,870,-190,-167,-23,169.18867924528303,53,1,56,904,0,70,54,0,92,146
0,1,23,1203,-470,1673,-204,-228,24,293.36206896551727,58,1,23,1715,0,67,93,0,891,171
0,1,105,864,-420,1284,-208,-229,21,339.89473684210526,38,1,2,1304,0,8,48,0,558,127
0,1,32,575,-933,1508,-232,-70,-162,303.64150943396226,53,1,4,1514,0,167,18,0,270,628
0,1,21,943,-498,1441,-215,-188,-27,354.219512195122,41,1,25,1465,0,28,67,0,649,205
0,1,24,509,-448,957,-232,-152,-80,262.10526315789474,38,1,5,970,0,124,51,0,169,145
0,1,0,987,-20,1007,-160,-296,136,472.27272727272725,22,1,18,1008,0,9,150,1,682,-322
0,1,0,947,-178,1125,-180,-261,81,475.6666666666667,24,1,4,1141,0,2,80,1,658,-135
0,1,35,1609,-1199,2808,-142,-66,-76,428.1666666666667,66,1,14,2840,0,246,182,0,1305,869
0,1,0,873,274,599,-96,-328,232,278.52,25,0,5,621,0,2,246,1,530,-79
0,1,18,1691,-1541,3232,-107,-104,-3,424.0131578947368,76,1,10,3220,0,125,134,0,1362,1209
0,1,0,824,-471,1295,-215,-179,-36,329.5833333333333,48,1,144,1446,0,75,103,1,529,173
0,1,30,620,-377,997,-233,-268,35,342.5,30,1,6,1003,0,17,38,0,314,65
0,1,27,807,471,336,-222,-255,33,115.15151515151516,33,0,35,377,0,23,76,0,516,180
0,1,49,32,218,-186,-789,-416,-373,119.35483870967742,31,0,247,31,0,324,28,0,308,499
0,1,0,236,-571,807,-441,-45,-396,229.49122807017545,57,1,215,995,1,375,56,0,512,149
1,1,69,676,282,394,-56,0,-56,108.0,35,0,26,397,0,24,50,0,952,563
0,1,0,919,-288,1207,-189,-209,20,461.38461538461536,26,1,10,1210,0,26,59,1,592,0
0,1,60,442,-245,687,-149,-374,225,243.5483870967742,31,1,10,711,0,16,264,0,164,-87
0,1,36,882,-378,1260,-231,-241,10,319.775,40,1,34,1288,0,22,44,0,597,56
0,1,0,857,-136,993,-137,-314,177,405.2307692307692,26,1,6,1006,0,5,182,1,535,-149
0,1,33,894,-243,1137,-113,-382,269,302.675,40,1,10,1159,0,12,292,0,605,-75
0,1,24,456,-474,930,-242,-80,-162,245.84615384615384,39,1,7,943,0,172,21,0,119,151
0,1,56,7,609,-602,-467,-207,-260,216.71875,32,0,632,25,0,269,18,0,-314,286
0,1,0,1232,538,694,-62,-314,252,288.8333333333333,30,0,39,731,0,18,279,1,911,215
1,1,58,625,7,618,-200,-737,537,208.6153846153846,39,0,4,633,0,8,545,0,329,-292
0,1,8,1257,-10,1267,-179,-452,273,222.7704918032787,61,1,17,1272,0,73,347,0,941,-289
