,Unnamed: 0,player_mlb_id,playerID_LAHMAN,birthYear,birthMonth,birthDay,birthCountry,weight,height,bats,throws,debut,birthDate,year,years_after_debut,total_pa,total_bf,base_ended_inn,field_p,field_c,field_1b,field_2b,field_3b,field_ss,field_lf,field_cf,field_rf,batter_strikeout,pitcher_strikeout,batter_caught_stealing_3b,pitcher_caught_stealing_3b,batter_field_out,pitcher_field_out,batter_walk,pitcher_walk,batter_force_out,pitcher_force_out,batter_sac_fly,pitcher_sac_fly,batter_single,pitcher_single,batter_hit_by_pitch,pitcher_hit_by_pitch,batter_double,pitcher_double,batter_grounded_into_double_play,pitcher_grounded_into_double_play,batter_sac_bunt,pitcher_sac_bunt,batter_home_run,pitcher_home_run,batter_fielders_choice,pitcher_fielders_choice,batter_field_error,pitcher_field_error,batter_other_out,pitcher_other_out,batter_caught_stealing_2b,pitcher_caught_stealing_2b,batter_triple,pitcher_triple,batter_strikeout_double_play,pitcher_strikeout_double_play,batter_fielders_choice_out,pitcher_fielders_choice_out,batter_double_play,pitcher_double_play,batter_sac_fly_double_play,pitcher_sac_fly_double_play,batter_catcher_interf,pitcher_catcher_interf,batter_pickoff_caught_stealing_2b,pitcher_pickoff_caught_stealing_2b,batter_pickoff_2b,pitcher_pickoff_2b,batter_pickoff_caught_stealing_3b,pitcher_pickoff_caught_stealing_3b,batter_triple_play,pitcher_triple_play,batter_pickoff_1b,pitcher_pickoff_1b,batter_sac_bunt_double_play,pitcher_sac_bunt_double_play,batter_wild_pitch,pitcher_wild_pitch,batter_game_advisory,pitcher_game_advisory,batter_caught_stealing_home,pitcher_caught_stealing_home,batter_pickoff_3b,pitcher_pickoff_3b,batter_stolen_base_2b,pitcher_stolen_base_2b,batter_passed_ball,pitcher_passed_ball,batter_pickoff_caught_stealing_home,pitcher_pickoff_caught_stealing_home,batter_pickoff_error_3b,pitcher_pickoff_error_3b,batter_stolen_base_3b,pitcher_stolen_base_3b,batter_line_drive,pitcher_line_drive,batter_fly_ball,pitcher_fly_ball,batter_ground_ball,pitcher_ground_ball,batter_popup,pitcher_popup,hits,elig_pa,avg,tb,slg,obp,ops,woba,babip,k_rate,bb_rate,hr_rate,iso,xbh,rc,pa_per_k,pa_per_bb,positions_played,pitcher_hits_allowed,era_proxy,whip_proxy,baa,gb_rate,fb_rate,k_bb_ratio,avg_bf_per_outing,total_runs,fielding_att,mean_ba_on_field_att,errors,mean_ba_on_errors,field_pct,earned_runs,outs_recorded,inherited_runners,innings_pitched,ERA,primary_position
0,0,0629cd765e77d52b8a43cb56621c82d949e50323,146ae8ecba2a3af909b0814df68b5d49583f5ec5,1985,12,17,D.R.,235,74,L,L,7/28/2010,12/17/1985,2021,11,0,81,0,81,0,0,0,0,0,0,0,0,0,10,0,0,0,31,0,6,0,4,0,0,0,15,0,0,0,6,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,32,0,4,0,0,,0,,,,,,0.1234567901234567,0.074074074074074,0.0123456790123456,,0,,,,1,23,0.0123456790123456,0.3580246913580246,0.2839506172839506,0.4320987654320987,0.0864197530864197,1.6666666666666667,3.950617283950617,,4.0,0.21425,,,,7.0,48.0,264.0,16.0,3.9375,p
1,1,33438ca2fdf93ff73b2e1bcc5da3058a04cf1661,543bb62c4bdd4911df4bd1a2313a975300d04ee6,1995,9,20,USA,220,74,R,R,6/5/2021,9/20/1995,2021,0,3,82,0,82,0,0,0,0,0,0,0,0,1,11,0,0,1,34,0,11,0,4,0,0,1,9,0,0,0,4,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,19,2,23,0,5,1,3,0.3333333333333333,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2966666666666667,0.3333333333333333,0.1341463414634146,0.1341463414634146,0.0853658536585365,0.0,0,0.3333333333333333,3.0,inf,1,20,0.0853658536585365,0.3780487804878049,0.2439024390243902,0.4634146341463415,0.048780487804878,1.0,7.341463414634147,0.0,2.0,0.314,,,,14.0,51.0,235.0,17.0,7.411764705882353,p
2,2,f79cf1f3d100e5f34d86ce2cd4c8c35ca3daee77,e195c4bc19cb6a08203e3c9e361677b73dbfdc03,2000,10,3,USA,185,74,L,R,4/8/2022,10/3/2000,2021,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,
3,3,3d65b1ac983ce90ff1f21f56b627883affc7dad1,0029980d1ad27d254bc1f60e31a32fcdd150ea37,1997,4,22,D.R.,225,73,R,R,7/31/2019,4/22/1997,2021,2,0,161,0,161,0,0,0,0,0,0,0,0,0,36,0,0,0,55,0,18,0,3,0,2,0,22,0,3,0,9,0,4,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,26,0,50,0,8,0,0,,0,,,,,,0.2236024844720497,0.1118012422360248,0.0248447204968944,,0,,,,1,35,0.0248447204968944,0.3291925465838509,0.217391304347826,0.3602484472049689,0.0683229813664596,2.0,3.453416149068323,,3.0,0.3256666666666666,,,,30.0,99.0,507.0,33.0,8.181818181818182,p
4,4,80f3a94c7bf1ed6397017744dbb75ff931902e2d,d851612368c1e9612c0c2a444018af96a59bf0b9,1987,1,29,Cuba,235,75,R,R,3/31/2014,1/29/1987,2021,7,657,0,0,0,0,4822,0,1,0,0,0,0,143,0,0,0,217,0,58,0,20,0,10,0,86,0,22,0,30,0,28,0,0,0,30,0,4,0,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,111,0,205,0,23,0,148,589,0.2512733446519524,272,0.4617996604414261,0.3470319634703196,0.8088316239117457,0.3603348554033486,0.200339558573854,,,,0.2105263157894736,62,95.1307300509338,4.118881118881119,10.155172413793103,2,0,,,,,,,,120.0,207.0,0.1535776699029126,2.0,0.1655,0.9903381642512076,0.0,,0.0,0.0,0.0,1b
5,5,3304ddb1ae3c28e484f383e6609fd35f1778ddf7,c8bc5aabe2cccc7fb3b5e9d74cd9ee9ee67be704,1994,3,6,D.R.,240,79,R,R,6/21/2021,3/6/1994,2021,0,0,44,0,44,0,0,0,0,0,0,0,0,0,9,0,0,0,19,0,4,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,13,0,2,0,0,,0,,,,,,0.2045454545454545,0.0909090909090909,0.0681818181818181,,0,,,,1,9,0.0681818181818181,0.2954545454545454,0.2045454545454545,0.4772727272727273,0.0227272727272727,2.25,2.9318181818181817,,2.0,0.307,,,,4.0,31.0,99.0,10.333333333333334,3.4838709677419355,p
6,6,b4246bd7233f08e749626eb0b7647d295f2e37b7,330040146cac722cbbb3b1e86382e36e850da06e,1997,12,18,Venezuela,205,72,R,R,4/25/2018,12/18/1997,2021,3,358,0,0,0,0,0,0,0,0,0,66,2818,85,0,0,0,120,0,47,0,6,0,5,0,40,0,9,0,19,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,67,0,69,0,18,0,84,306,0.2745098039215686,177,0.5784313725490197,0.3910614525139664,0.9694928250629862,0.4208379888268156,0.196078431372549,,,,0.303921568627451,44,75.77450980392157,3.6,6.51063829787234,2,0,,,,,,,,53.0,267.0,0.3721165413533834,,,,0.0,,0.0,0.0,0.0,rf
7,7,a70005cbd23e1b20e856625d4ad363fa8d61788b,d5c5366743bd68d9d3c9f2da1d5ba337cd6ad729,1991,7,26,D.R.,217,71,B,R,7/29/2014,7/26/1991,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,
8,8,81272c934b63edda7b2c6ca9f268f5a594ce5131,9c4ebd617a2865a01c7ee911f9a429715209d41c,1995,9,2,D.R.,210,72,R,R,5/22/2018,9/2/1995,2021,3,554,0,1,0,0,0,0,0,4765,0,0,0,156,0,0,0,183,0,56,0,11,0,1,0,72,0,0,0,32,0,9,0,0,0,25,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,123,0,127,0,18,0,130,497,0.2615694164989939,239,0.4808853118712273,0.335740072202166,0.8166253840733935,0.3564620938628159,0.2112676056338028,,,,0.2193158953722334,58,89.4446680080483,3.185897435897436,8.875,1,0,,,,,,,,77.0,439.0,0.2131776765375854,10.0,0.2205,0.9772209567198178,0.0,,0.0,0.0,0.0,ss
9,9,45be69e7dbc2d4b228aeb07ec08590cfdc6ff091,291aecd3e6d853b1682916a6f5102574082df536,1991,8,4,USA,229,75,R,R,5/5/2018,8/4/1991,2021,3,0,50,0,50,0,0,0,0,0,0,0,0,0,18,0,0,0,12,0,6,0,0,0,0,0,5,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,8,0,4,0,0,,0,,,,,,0.36,0.12,0.02,,0,,,,1,10,0.02,0.32,0.2,0.24,0.08,3.0,2.76,,,,,,,7.0,31.0,184.0,10.333333333333334,6.096774193548387,p
